City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,krasnokuts'k,50.066,35.1628,12.2,77,35,10.41,UA,1699774301
1,dabat,12.9842,37.765,17.45,51,39,2.31,ET,1699774302
2,arraial do cabo,-22.9661,-42.0278,22.77,91,23,5.83,BR,1699774302
3,udachny,66.4167,112.4,-15.95,95,100,3.89,RU,1699774302
4,parras de la fuente,25.4167,-102.1833,13.02,88,100,3.37,MX,1699774303
5,lihue,21.9789,-159.3672,25.77,76,75,7.72,US,1699774303
6,hermanus,-34.4187,19.2345,17.28,60,73,3.29,ZA,1699774303
7,port elizabeth,-33.918,25.5701,19.06,75,14,2.24,ZA,1699774185
8,atafu village,-8.5421,-172.5159,29.07,72,55,2.65,TK,1699774304
9,invercargill,-46.4,168.35,15.57,79,90,1.79,NZ,1699774059
10,edinburgh of the seven seas,-37.0676,-12.3116,13.98,85,98,7.25,SH,1699774304
11,trenggalek,-8.05,111.7167,29.56,63,79,3.94,ID,1699774305
12,albany,42.6001,-73.9662,1.23,73,51,0.45,US,1699774305
13,susuman,62.7833,148.1667,-32.84,95,25,0.37,RU,1699774305
14,port-aux-francais,-49.35,70.2167,3.38,82,100,15.31,TF,1699774305
15,ilulissat,69.2167,-51.1,-6.99,58,20,5.66,GL,1699774306
16,san patricio,28.017,-97.5169,16.02,92,100,2.45,US,1699774306
17,kapuskasing,49.4169,-82.4331,-1.95,93,100,2.06,CA,1699774307
18,ribeira grande,38.5167,-28.7,20.43,94,75,9.39,PT,1699774307
19,bethel,41.3712,-73.414,2.19,76,0,0.0,US,1699774271
20,puerto san jose,13.9256,-90.8244,25.63,82,71,1.94,GT,1699774308
21,ancud,-41.8697,-73.8203,5.84,75,69,4.62,CL,1699774308
22,college,64.8569,-147.8028,-8.03,73,100,0.0,US,1699774308
23,zhosaly,45.4878,64.0781,7.43,54,100,7.45,KZ,1699774309
24,kapa'a,22.0752,-159.319,26.18,81,75,7.72,US,1699774309
25,maraba,-5.3686,-49.1178,25.1,94,0,2.06,BR,1699774309
26,macas,-2.3167,-78.1167,18.58,94,42,1.52,EC,1699774309
27,tan-tan,28.438,-11.1032,20.96,47,89,1.03,MA,1699774309
28,isafjordur,66.0755,-23.124,1.89,83,100,3.02,IS,1699774310
29,kristiansund,63.1115,7.732,2.36,69,0,1.54,NO,1699774311
